keyword,macro,sub,natureza,perfil
IFOOD,ALIMENTACAO,DELIVERY,EXPENSE,DISCRICIONARIO
UBER,TRANSPORTE,APLICATIVO,EXPENSE,ESSENCIAL
NETFLIX,ASSINATURAS,STREAMING,EXPENSE,DISCRICIONARIO
TRANSFERENCIA ENVIADA PELO PIX,TRANSFERENCIA,PIX_ENVIO,TRANSFER,IGNORADO
TRANSFERENCIA RECEBIDA PELO PIX,TRANSFERENCIA,PIX_RECEBIDO,TRANSFER,IGNORADO
TRANSFERENCIA RECEBIDA,TRANSFERENCIA,PIX_RECEBIDO,TRANSFER,IGNORADO
APLICACAO RDB,INVESTIMENTOS,APORTE,INVESTMENT,PATRIMONIAL
RESGATE RDB,INVESTIMENTOS,RESGATE,INVESTMENT,PATRIMONIAL
PAGAMENTO DE FATURA,PASSIVOS,CARTAO_CREDITO,TRANSFER,IGNORADO
CREDITO EM CONTA,REVISAR,CREDITO_CONTA,INCOME,IGNORADO
BANCO YAM,TRANSPORTE,VEICULO,EXPENSE,ESSENCIAL
NATURA,CUIDADOS_PESSOAIS,COSMETICOS,EXPENSE,DISCRICIONARIO
COELBA,MORADIA,ENERGIA,EXPENSE,ESSENCIAL
RECARGA DE CELULAR,MORADIA,TELECOM,EXPENSE,ESSENCIAL
TRANSFERENCIA DE SALDO NUINVEST,TRANSFERENCIA,CORRETORA,TRANSFER,IGNORADO
DINHEIRO GUARDADO,TRANSFERENCIA,POUPANCA,TRANSFER,IGNORADO
